"Layout engine","Release version","Preview version","Used by"
"Amaya","11.4.7","N/A","No longer developed; Amaya"
"Blink","537.36","source code","Chromium/Chrome (28+), Opera (15+) and Yandex"
"Gecko",")",")  daily release","All Mozilla software, including Firefox; SeaMonkey and Galeon; Camino; K-Meleon; Flock (up to 2.x); Debian IceWeasel; GNU IceCat (formerly GNU IceWeasel); Icedove, Iceape and Iceowl; Fennec. Also used by the Maple platform in 2010 and 2011 Samsung ""SmartTV"" devices which are based on the build used in Firefox 3.0. Nokia Asha platform is also using Gecko for web apps rendering."
"KHTML","4.12.3","N/A","Konqueror"
"Presto","2.12.388","N/A","No longer developed; Opera and Opera Mobile use Blink now; Nintendo DS & DSi Browser; Internet Channel"
"Tasman","(IE 5.2.3 for Mac)","N/A","No longer developed (aborted in 2003); Internet Explorer 5+  for Mac OS X"
"Trident","7.0 (IE 11)","N/A","Internet Explorer and other Internet Explorer shell like Maxthon (Microsoft Windows operating system only), Windows Phone 8"
"WebKit","534.20","nightly build","Tizen (both OS and browser), Safari (both desktop and mobile), Google Chrome (before 28), Maxthon 3, Shiira, iCab 4, OmniWeb 5.5+, Web, Adobe AIR, Midori, Adobe Dreamweaver CS4 and CS5, Android browser, Palm webOS browser, Symbian S60 browser, OWB, Steam, Rekonq, Arora, Flock (version 3+), RockMelt, Dolphin Browser, Sleipnir, Konqueror. Used by the LG Smart TV platform to enable web content on TVs."
"Value","Meaning"
"Yes","Indicates that the layout engine fully supports this property/element when valid values are used."
"No","Indicates that the property/element is completely ignored."
"Partial","Indicates that the property/element is understood, but that not all values are supported. Supported values are implemented correctly."
"Incorrect","Indicates that the property/element is understood, but that it is not implemented correctly in all cases."
"Experimental","Indicates that the property/element is understood, but supported under an alternate name. May be incomplete or buggy."
"Dropped","Indicates that the property/element is no longer supported."
"Nightly build","Indicates that the property/element is supported to some extent in an experimental/nightly build. Future support is expected."
"Depends","Indicates that the property/element is supported only on certain platforms, or if certain settings are configured."
"","","","Trident","Gecko","WebKit","KHTML","Presto","Prince"
"CSS2","","Weight increasing","7.0","1.0","85","Yes","1.0","Yes"
"CSS2","","Comments","3.0","1.0","85","Yes","1.0","Yes"
"CSS2","","Import stylesheet","8.0","1.0","Yes","Yes","1.0","2.1"
"CSS2","","Character set","5.5","1.0","Yes","4.2.3","1.0","Yes"
"CSS2","","Media-specific rules","5.5","1.0","Yes","Yes","1.0","5.1"
"CSS3","","Namespace declaration","9.0","1.0","Yes","Yes","1.0","5.0"
"CSS3","","Restriction by URLs","No","6.0","No","No","No","No"
"CSS3","","Animation key","10.0","16.0","Experimental","No","2.12","No"
"CSS3","","Conditional Rules","12.0","22.0","28.0","No","2.12","No"
"CSS3","","Phonetic pronunciation","No","No","No","No","No","No"
"CSS3","","Custom Counter Styles","No","Nightly build","No","No","No","No"
"CSS3","","Viewport, Device Adaptation","10.0","No","No","No","2.7.62","No"
"ML1","","Filter","No","No","No","No","No","No"
"Page","Page","Page","Page","Page","Page","Page","Page","Page"
"CSS2","","For paged media","8.0","19.0","Nightly Build","No","1.0","6.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
"CSS3","","Margin boxes","No","No","No","No","No","5.0"
